Player_Name,Team,Pos
Leon Draisaitl,EDM,C
Auston Matthews,TOR,C
Chris Kreider,NYR,LW
Alex Ovechkin,WAS,LW
Kyle Connor,WPG,LW
David Pastrnak,BOS,RW
Connor McDavid,EDM,C
Gabriel Landeskog,COL,LW
Alex DeBrincat,CHI,RW
Andrew Mangiapane,CGY,LW
Troy Terry,ANH,C
Dylan Larkin,DET,C
Filip Forsberg,NSH,RW
Matthew Tkachuk,CGY,LW
Steven Stamkos,TB,C
Mikko Rantanen,COL,RW
Adrian Kempe,LA,C
Jake Guentzel,PIT,LW
Aleksander Barkov,FLA,C
Matt Duchene,NSH,C
Elias Lindholm,CGY,RW
Timo Meier,SJ,LW
Kirill Kaprizov,MIN,LW
Sebastian Aho,CAR,LW
Roope Hintz,DAL,LW
Tyler Bertuzzi,DET,LW
Sam Bennett,FLA,LW
Brad Marchand,BOS,LW
Boone Jenner,CLS,LW
Tage Thompson,BUF,RW
Jason Robertson,DAL,LW
Andrei Svechnikov,CAR,RW
Pierre-Luc Dubois,WPG,C
Tomas Hertl,SJ,LW
Nazem Kadri,COL,C
Joe Pavelski,DAL,RW
Jonathan Marchessault,VGK,LW
Jeff Skinner,BUF,LW
William Nylander,TOR,C
Mitch Marner,TOR,C
Jared McCann,SEA,C
Brayden Point,TB,C
Clayton Keller,ARI,C
Jordan Kyrou,STL,RW
Patrik Laine,CLS,RW
Anthony Duclair,FLA,LW
Mika Zibanejad,NYR,C
Mark Scheifele,WPG,C
J.T. Miller,VAN,C
Johnny Gaudreau,CGY,LW
Vladimir Tarasenko,STL,RW
Brock Nelson,NYI,C
Zach Hyman,EDM,RW
Pavel Buchnevich,STL,LW
Ryan Hartman,MIN,RW
Michael Bunting,TOR,LW
Jesper Bratt,NJ,LW
Tanner Jeannot,NSH,LW
Cale Makar,COL,D
Josh Norris,OTT,C
Oliver Bjorkstrand,CLS,RW
Sam Reinhart,FLA,RW
Bryan Rust,PIT,RW
Jonathan Huberdeau,FLA,LW
Cam Atkinson,PHI,RW
Logan Couture,SJ,C
Marcus Foligno,MIN,LW
Mats Zuccarello,MIN,RW
Tyler Seguin,DAL,C
John Tavares,TOR,C
Claude Giroux,PHI,C
Brandon Saad,STL,LW
Tom Wilson,WAS,RW
Kevin Fiala,MIN,LW
Bo Horvat,VAN,C
Andre Burakovsky,COL,LW
Ivan Barbashev,STL,LW
Brady Tkachuk,OTT,LW
Jack Hughes,NJ,C
Elias Pettersson,VAN,C
Brandon Hagel,CHI,LW
Lucas Raymond,DET,RW
Evan Rodrigues,PIT,C
Joel Eriksson Ek,MIN,C
Nathan MacKinnon,COL,C
Carter Verhaeghe,FLA,C
Alex Killorn,TB,C
Reilly Smith,VGK,RW
Phillip Danault,LA,C
Nino Niederreiter,CAR,RW
Patrick Kane,CHI,RW
Sidney Crosby,PIT,C
Brayden Schenn,STL,C
Jordan Eberle,SEA,RW
Anze Kopitar,LA,C
Patrice Bergeron,BOS,C
Corey Perry,TB,RW
Max Pacioretty,VGK,LW
Evgeny Kuznetsov,WAS,C
Ondrej Palat,TB,LW
Teuvo Teravainen,CAR,C
Vincent Trocheck,CAR,C
Rickard Rakell,ANH,C
Josh Anderson,MON,RW
Brock Boeser,VAN,RW
Artemi Panarin,NYR,LW
Viktor Arvidsson,LA,LW
Nico Hischier,NJ,C
Alex Iafallo,LA,C
Trevor Zegras,ANH,C
Robby Fabbri,DET,LW
Lawson Crouse,ARI,LW
Jake DeBrusk,BOS,LW
Conor Garland,VAN,RW
Chandler Stephenson,VGK,C
Valeri Nichushkin,COL,LW
Anders Lee,NYI,C
Aaron Ekblad,FLA,D
Tyler Toffoli,CGY,RW
Kyle Okposo,BUF,RW
Roman Josi,NSH,D
Ryan Johansen,NSH,C
Jamie Benn,DAL,C
Paul Stastny,WPG,C
Jeff Carter,PIT,C
Vladislav Namestnikov,DET,C
Gustav Nyquist,CLS,RW
Nikolaj Ehlers,WPG,LW
Andrew Copp,WPG,C
Anthony Cirelli,TB,C
Pavel Zacha,NJ,C
Alexis Lafreniere,NYR,LW
Dawson Mercer,NJ,C
Isac Lundestrom,ANH,LW
Drake Batherson,OTT,RW
Yegor Sharangovich,NJ,LW
Dylan Cozens,BUF,C
Jesse Puljujarvi,EDM,RW
Anton Lundell,FLA,C
Tim Stutzle,OTT,LW
Mathew Barzal,NYI,C
Yakov Trenin,NSH,C
Conor Sheary,WAS,LW
Ryan Strome,NYR,C
Charlie Coyle,BOS,C
Yanni Gourde,SEA,LW
David Perron,STL,RW
Taylor Hall,BOS,LW
Ryan O'Reilly,STL,C
Victor Hedman,TB,D
James van Riemsdyk,PHI,LW
Blake Coleman,CGY,C
Calle Jarnkrok,SEA,C
Jesper Fast,CAR,RW
Sonny Milano,ANH,LW
Andreas Johnsson,NJ,LW
Barclay Goodrow,NYR,LW
Tanner Pearson,VAN,LW
Ondrej Kase,TOR,RW
Nick Schmaltz,ARI,RW
Ryan Donato,SEA,C
Danton Heinen,PIT,C
Alex Newhook,COL,C
Arthur Kaliyev,LA,RW
